Subject,Age,Sex,Language_ClassificationDemo,L1,Handedness
1610,19,Male,Early Bilingual,English,Right
1611,21,Male,Monolingual,Chinese ,Left
1612,22,Female,Late Bilingual,Mandarin,Right
1619,21,Female,Early Bilingual,Chinses,Right
1615,30,Female,Monolingual,English,Right
1616,20,Female,Monolingual,English,Right
1613,26,Male,Early Bilingual,English,Right
1617,19,Male,Late Bilingual,English,Right
1614,20,Female,Late Bilingual,English,Right
1620,25,Male,Early Bilingual,Taiwanese,No preference
1618,24,Male,Late Bilingual,Indonesian,Right
1621,19,Male,Monolingual,English,Right
1623,21,Male,Early Bilingual,Cantonese,Right
1622,19,Male,Late Bilingual,English,Right
1629,23,Female,Late Bilingual,Chinese,Right
1625,21,Male,Early Bilingual,English,Right
1634,28,Male,Early Bilingual,English,Right
1630,20,Female,Monolingual,English,Right
1628,20,Female,Monolingual,English,Right
1631,24,Male,Early Bilingual,English,Right
1626,19,Male,Early Bilingual,Punjabi,Right
1624,24,Female,Early Bilingual,Mandarin,Right
1627,23,Male,Early Bilingual,Gujarathi,Right
1633,21,Male,Early Bilingual,English,Right
1635,29,Female,Early Bilingual,English,Right
1643,18,Male,Monolingual,English,Right
1644,25,Female,Late Bilingual,Korean,Right
1641,33,Male,Late Bilingual,English,Right
1638,25,Male,Monolingual,English,Right
1640,35,Male,Early Bilingual,Punjabi,Right
1645,20,Male,None of the above,English,Right
1639,20,Male,Monolingual,English,Right
1642,18,Male,Late Bilingual,English,Right
1650,19,Female,Early Bilingual,English,Right
1649,25,Female,Early Bilingual,Chinese,Right
1648,18,Male,Late Bilingual,Chinese,Right
1651,19,Male,Late Bilingual,Chinese,Right
1656,20,Female,Early Bilingual,English,Right
1632,35,Female,Early Bilingual,English,Right
1637,28,Male,Monolingual,English,Right
1636,22,Male,Late Bilingual,Chinese,Right
1646,21,Male,Late Bilingual,English,Right
1655,21,Male,Late Bilingual,Chinese,Right
1652,20,Female,Early Bilingual,Vietnamese,Right
1657,31,Male,Early Bilingual,Bengali,Right
1647,28,Male,Monolingual,English,Right
1658,18,Female,Late Bilingual,English,Right
1654,23,Female,Early Bilingual,Chinese,Right
1653,29,Male,Late Bilingual,Chinese,Right
